"Gene","Analysis.ID","Relatedness","adjusted_expression"
"Eid2","F1Mm_Rep8","0",80.7204613474486
"Eid2","F2Fc_Rep1","50",70.5490003040304
"Eid2","F2Fc_Rep2","50",84.4292238220953
"Eid2","F2Fc_Rep3","50",74.9376027006181
"Eid2","F2Fc_Rep4","50",63.6178482180674
"Eid2","F2Fc_Rep5","50",72.7422219348958
"Eid2","F2Fc_Rep7","50",67.2924576392853
"Eid2","F2Fc_Rep8","50",70.7086046922688
"Eid2","F2Fm_Rep1","50",71.2386152057732
"Eid2","F2Fm_Rep2","50",86.2527573665607
"Eid2","F2Fm_Rep3","50",68.0603010441685
"Eid2","F2Fm_Rep4","50",58.7514414111912
"Eid2","F2Fm_Rep5","50",68.1801283688139
"Eid2","F2Fm_Rep6","50",68.6375002703257
"Eid2","F2Fm_Rep7","50",71.5006181263335
"Eid2","F2Fm_Rep8","50",65.5201699358678
"Eid2","F2Mc_Rep1","50",75.8369844609442
"Eid2","F2Mc_Rep2","50",55.684234038884
"Eid2","F2Mc_Rep3","50",63.0542216046867
"Eid2","F2Mc_Rep4","50",76.9577996703078
"Eid2","F2Mc_Rep5","50",75.7778568397885
"Eid2","F2Mc_Rep6","50",74.0798246183359
"Eid2","F2Mc_Rep7","50",66.2089192224425
"Eid2","F2Mc_Rep8","50",76.8897574697467
"Eid2","F2Mm_Rep1","50",76.0054572503868
"Eid2","F2Mm_Rep2","50",66.3907015017323
"Eid2","F2Mm_Rep4","50",60.6416165676318
"Eid2","F2Mm_Rep5","50",67.0378033486621
"Eid2","F2Mm_Rep6","50",57.6909779763107
"Eid2","F2Mm_Rep7","50",72.6532740606597
"Eid2","F2Mm_Rep8","50",78.0838775914551
"LOC143274397","F1Fc_Rep1","0",-0.00994743047712567
"LOC143274397","F1Fc_Rep2","0",-0.0099474304771258
"LOC143274397","F1Fc_Rep3","0",0.13441475320107
"LOC143274397","F1Fc_Rep4","0",0.0351478206007533
"LOC143274397","F1Fc_Rep5","0",0.0309858926694688
"LOC143274397","F1Fc_Rep6","0",0.0340590319722888
"LOC143274397","F1Fc_Rep7","0",0.0422108242100994
"LOC143274397","F1Fc_Rep8","0",0.0691828178280821
"LOC143274397","F1Fm_Rep1","0",0.0719900970304372
"LOC143274397","F1Fm_Rep2","0",0.0333786713963012
"LOC143274397","F1Fm_Rep3","0",0.145341649245101
"LOC143274397","F1Fm_Rep4","0",-0.0118510435461583
"LOC143274397","F1Fm_Rep5","0",0.0858369487955368
"LOC143274397","F1Fm_Rep6","0",0.0533681227430097
"LOC143274397","F1Fm_Rep7","0",-0.0118510435461583
"LOC143274397","F1Fm_Rep8","0",0.0248646012341337
"LOC143274397","F1Mc_Rep1","0",0.0118510435461584
"LOC143274397","F1Mc_Rep2","0",0.0658711595728997
"LOC143274397","F1Mc_Rep3","0",0.0562113848421858
